timestamp_est,symbol,order_id,side,price,size,order_type,action,session_id,data_type,cbdr_window
2025-11-12 06:01:52.840,MNQZ5.CME@RITHMIC,124526675415200,SELL,25800.0,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:55.506,MNQZ5.CME@RITHMIC,124529340951800,SELL,25800.0,21,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:55.944,MNQZ5.CME@RITHMIC,124529778149200,SELL,25805.0,25,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:55.969,MNQZ5.CME@RITHMIC,124529804272200,BUY,25775.0,28,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:58.139,MNQZ5.CME@RITHMIC,124531974719500,BUY,25794.0,22,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:58.430,MNQZ5.CME@RITHMIC,124532264652800,BUY,25780.5,21,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:58.926,MNQZ5.CME@RITHMIC,124532760598900,SELL,25805.0,35,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:01:59.250,MNQZ5.CME@RITHMIC,124533084312400,BUY,25700.0,144,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:01.837,MNQZ5.CME@RITHMIC,124535671892200,SELL,25800.0,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:02.421,MNQZ5.CME@RITHMIC,124536256160900,SELL,25820.75,86,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:02.604,MNQZ5.CME@RITHMIC,124536438878400,BUY,25790.0,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:05.376,MNQZ5.CME@RITHMIC,124539211470000,SELL,25820.0,23,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:07.061,MNQZ5.CME@RITHMIC,124540895675100,SELL,25812.0,21,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:07.122,MNQZ5.CME@RITHMIC,124540957019700,SELL,25875.0,69,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:09.104,MNQZ5.CME@RITHMIC,124542938641900,BUY,25773.25,23,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:09.596,MNQZ5.CME@RITHMIC,124543430071500,SELL,25875.0,67,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:09.732,MNQZ5.CME@RITHMIC,124543566552000,SELL,25875.0,69,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:10.244,MNQZ5.CME@RITHMIC,124544079535300,SELL,25875.0,67,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:10.277,MNQZ5.CME@RITHMIC,124544112142700,BUY,25780.0,26,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:10.927,MNQZ5.CME@RITHMIC,124544761803300,SELL,25875.0,69,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:13.311,MNQZ5.CME@RITHMIC,6868768311700,BUY,25771.25,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,MBO,NONE
2025-11-12 06:02:13.313,MNQZ5.CME@RITHMIC,124547147768200,BUY,25771.25,27,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:13.561,MNQZ5.CME@RITHMIC,6868768443174,SELL,25829.5,20,LIMIT,UPDATE,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,MBO,NONE
2025-11-12 06:02:13.563,MNQZ5.CME@RITHMIC,124547397611100,SELL,25829.5,27,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:02:15.020,MNQZ5.CME@RITHMIC,6868769073982,SELL,25835.75,25,LIMIT,ADD,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,MBO,NONE
