time,open,high,low,close,Fractal High,Fractal Low,Chars,Chars,Chars,Chars,Chars,Chars,Chars
1761895800,6898.25,6904.75,6898,6903.25,0,0,0,0,0,0,0,0,0
1761896700,6903,6906.25,6902.5,6906,1,0,0,0,0,0,0,0,0
1761897600,6906,6906,6897.5,6897.5,0,0,0,0,0,0,0,0,0
1761898500,6897.25,6900.5,6896.25,6899.5,0,1,0,0,0,0,0,0,0
1761899400,6899.25,6900.5,6896.5,6900,0,0,0,0,0,0,0,0,0
1761900300,6899.75,6904,6899,6903.5,0,0,0,0,0,0,0,0,0
1761901200,6903.5,6906,6902.25,6906,0,0,0,0,0,0,0,0,0
1761902100,6905.75,6906,6901,6902,1,0,0,0,0,0,0,0,0
1761903000,6902,6903,6899,6899.75,0,0,0,0,0,0,0,0,0
1761903900,6899.5,6901.75,6899,6899.75,0,0,0,0,0,0,0,0,0
1761904800,6900,6900.75,6898.25,6898.5,0,0,0,0,0,0,0,0,0
1761905700,6898.75,6899,6893.25,6895.75,0,1,0,0,0,0,0,0,0
1761906600,6895.5,6899.25,6894.25,6898.5,0,0,0,0,0,0,0,0,0
1761907500,6899,6900.75,6897.5,6897.75,0,0,0,0,0,0,0,0,0
1761908400,6898,6901.5,6894.75,6900.5,0,1,0,0,0,0,0,0,0
1761909300,6900.5,6905,6899.25,6904.75,0,0,0,0,0,0,0,0,0
1761910200,6904.75,6905.25,6902.5,6905,0,0,0,0,0,0,0,0,0
1761911100,6905,6911.5,6904.25,6907.75,0,0,0,0,0,0,0,0,0
1761912000,6907.5,6913.25,6906.75,6913,0,0,0,0,0,0,0,0,0
1761912900,6913,6918.5,6912.75,6915.5,1,0,0,0,0,0,0,0,0
1761913800,6916,6916.75,6901.75,6904.5,0,1,0,0,0,0,0,0,0
1761914700,6904.25,6910,6903.25,6905.75,0,0,0,0,0,0,0,0,0
1761915600,6905.75,6906.25,6900.5,6905,0,0,0,0,0,0,0,0,0
1761916500,6904.75,6905.75,6899.25,6901.75,0,0,0,0,0,0,0,0,0
1761917400,6902.25,6902.5,6882,6884.5,0,0,0,0,0,0,0,0,0
1761918300,6884.25,6892.25,6880,6886.25,0,0,0,0,0,0,0,0,0
1761919200,6886.25,6888.25,6877,6879.25,0,0,0,0,0,0,0,0,0
1761920100,6879.25,6886.75,6873.5,6884.25,0,1,0,0,0,0,0,0,0
1761921000,6884.25,6896.75,6882.75,6895.5,0,0,0,0,0,0,0,0,0
1761921900,6895.5,6899.5,6893.25,6896.5,1,0,0,0,0,0,0,0,0
1761922800,6896.5,6898.75,6891,6894.25,0,0,0,0,0,0,0,0,0
1761923700,6894,6899.5,6887.75,6889,1,0,0,0,0,0,0,0,0
1761924600,6889.25,6893.5,6875,6886,0,0,0,0,0,0,0,0,0
1761925500,6886,6894.5,6872.25,6873.5,1,0,0,0,0,0,0,0,0
1761926400,6873.5,6875.25,6862.25,6866.75,0,0,0,0,0,0,0,0,0
1761927300,6866.75,6872.25,6856.5,6869.25,0,1,0,0,0,0,0,0,0
1761928200,6869.25,6876.25,6861.25,6863.25,1,0,0,0,0,0,0,0,0
1761929100,6863.25,6867.25,6852.5,6855.25,0,0,0,0,0,0,0,0,0
1761930000,6855,6859.25,6848.5,6850.75,0,0,0,0,0,0,0,0,0
1761930900,6850.25,6852.5,6843.5,6849.25,0,1,0,0,0,0,0,0,0
1761931800,6849.5,6859,6845.5,6858.5,0,0,0,0,0,0,0,0,0
1761932700,6858.25,6866.5,6858.25,6860.25,0,0,0,0,0,0,0,0,0
1761933600,6860.25,6873.75,6859.5,6871.5,0,0,0,0,0,0,0,0,0
1761934500,6871.5,6876,6867,6875,0,0,0,0,0,0,0,0,0
1761935400,6875,6877.5,6871.5,6875.5,0,0,0,0,0,0,0,0,0
1761936300,6875.75,6879.5,6868.75,6878,0,1,0,0,0,0,0,0,0
1761937200,6877.75,6882,6874.5,6880.25,0,0,0,0,0,0,0,0,0
1761938100,6880.25,6894.75,6879.25,6893,0,0,0,0,0,0,0,0,0
1761939000,6893,6900,6890.75,6896.25,1,0,0,0,0,0,0,0,0
1761939900,6896,6896.75,6871.75,6872.25,0,0,0,0,0,0,0,0,0
1761940800,6872.25,6875,6867.5,6872,0,0,0,0,0,0,0,0,0
1761941700,6872,6872.75,6866.75,6868,0,1,0,0,0,0,0,0,0
1761942600,6867.75,6871.75,6867.75,6870,0,0,0,0,0,0,0,0,0
1761943500,6869.75,6873.5,6869.5,6872,0,0,0,0,0,0,0,0,0
1762124400,6877.5,6891.25,6876.25,6891.25,0,0,0,0,0,0,0,0,0
1762125300,6891.25,6893.25,6887.25,6888.5,0,0,0,0,0,0,0,0,0
1762126200,6888.25,6894.75,6887.25,6892,0,0,0,0,0,0,0,0,0
1762127100,6892,6895,6892,6892.5,0,0,0,0,0,0,0,0,0
1762128000,6892.75,6896.5,6892,6895.25,0,0,0,0,0,0,0,0,0
1762128900,6895,6897.75,6894.5,6895.75,0,0,0,0,0,0,0,0,0
1762129800,6896,6897.75,6895,6897,0,0,0,0,0,0,0,0,0
1762130700,6897.25,6898.75,6896.75,6898.5,0,0,0,0,0,0,0,0,0
1762131600,6898.25,6899,6895,6897.5,0,0,0,0,0,0,0,0,0
1762132500,6897.75,6899.25,6895,6896,1,0,0,0,0,0,0,0,0
1762133400,6896.25,6896.5,6891.5,6894.25,0,0,0,0,0,0,0,0,0
1762134300,6894.25,6894.5,6891.5,6892,0,0,0,0,0,0,0,0,0
1762135200,6891.5,6893.25,6890.25,6892.75,0,1,0,0,0,0,0,0,0
1762136100,6892.5,6896,6892,6893.75,1,0,0,0,0,0,0,0,0
1762137000,6893.5,6893.75,6887.25,6890,0,1,0,0,0,0,0,0,0
1762137900,6890.25,6891.25,6887.5,6888.5,0,0,0,0,0,0,0,0,0
1762138800,6888.5,6889,6884.25,6884.5,0,0,0,0,0,0,0,0,0
1762139700,6884.75,6887,6881,6884,0,1,0,0,0,0,0,0,0
1762140600,6884,6887.25,6882.75,6885.25,1,0,0,0,0,0,0,0,0
1762141500,6885.25,6886.75,6883.25,6886.5,0,0,0,0,0,0,0,0,0
1762142400,6886,6886.25,6883.75,6885.75,0,0,0,0,0,0,0,0,0
1762143300,6886,6888,6884.25,6886.5,0,0,0,0,0,0,0,0,0
1762144200,6886.75,6888,6884.75,6885.75,1,0,0,0,0,0,0,0,0
1762145100,6885.5,6887.25,6885,6887,0,0,0,0,0,0,0,0,0
1762146000,6887,6888,6886,6886.5,1,0,0,1,0,0,0,0,0
1762146900,6886.75,6886.75,6882,6886.25,0,1,0,0,0,0,0,0,0
1762147800,6886.5,6889,6884.5,6887.75,1,0,0,0,0,0,0,0,0
1762148700,6887.75,6888,6882.5,6884.75,0,1,0,0,0,0,0,0,0
1762149600,6885,6888,6884,6884,0,0,0,0,0,0,0,0,0
1762150500,6884,6884.75,6878.5,6880.5,0,1,0,0,0,0,0,0,0
1762151400,6880.25,6884,6878.75,6879.75,0,0,0,0,0,0,0,0,0
1762152300,6879.75,6883.5,6877.5,6880.5,0,0,0,0,0,0,0,0,0
1762153200,6880.25,6880.75,6874.75,6876.25,0,0,0,0,0,0,0,0,0
1762154100,6876,6879.75,6874.75,6876.75,0,0,0,0,0,0,0,0,0
1762155000,6876.75,6877.5,6874,6874.25,0,0,0,0,0,0,0,0,0
1762155900,6874.25,6877.5,6873.5,6876,0,0,0,0,0,0,0,0,0
1762156800,6876,6881.5,6873.25,6880.75,0,1,0,0,0,0,0,0,0
1762157700,6881,6884.5,6877.75,6882.75,0,0,0,0,0,0,0,0,0
1762158600,6882.75,6886.25,6881.25,6886.25,0,0,0,0,0,0,0,0,0
1762159500,6886.25,6889.75,6885.25,6887.5,0,0,0,0,0,0,0,0,0
1762160400,6887.5,6894.75,6887,6894.5,0,0,0,0,0,0,0,0,0
1762161300,6894.75,6900.75,6893.75,6900.25,0,0,0,0,0,0,0,0,0
1762162200,6900.5,6902.25,6898,6899.5,1,0,0,0,0,0,0,0,0
1762163100,6899.5,6899.75,6894,6895,0,0,0,0,0,0,0,0,0
1762164000,6895,6897,6893.25,6895.75,0,1,0,0,0,0,0,0,0
1762164900,6895.75,6898,6894,6896.5,0,0,0,0,0,0,0,0,0
1762165800,6896.5,6899.25,6894.25,6899,0,0,0,0,0,0,0,0,0
1762166700,6899.25,6901,6894.25,6896,1,0,0,0,0,0,0,0,0
1762167600,6896,6900.75,6896,6899.25,0,0,0,0,0,0,0,0,0
1762168500,6899.25,6903,6898,6898.75,1,0,0,0,0,0,0,0,0
1762169400,6898.5,6900.5,6896.25,6897.75,0,0,0,0,0,0,0,0,0
1762170300,6897.5,6900.25,6895.75,6896.25,0,0,0,0,0,0,0,0,0
1762171200,6896.25,6900.25,6895.75,6899.75,0,0,0,0,0,0,0,0,0
1762172100,6899.5,6899.75,6893,6893,0,0,0,0,0,0,0,0,0
1762173000,6893.25,6896,6891.25,6893.5,0,1,0,0,0,0,0,0,0
1762173900,6893.5,6897.25,6891.5,6891.75,1,0,0,0,0,0,0,0,0
1762174800,6891.5,6892.25,6885.75,6889.75,0,1,0,0,0,0,0,0,0
1762175700,6889.75,6893,6888.25,6888.75,0,0,0,0,0,0,0,0,0
1762176600,6888.75,6895.75,6888.75,6895,0,0,0,0,0,0,0,0,0
1762177500,6895.25,6897.25,6894,6896.5,0,0,0,0,0,0,0,0,0
1762178400,6896.75,6907.25,6896.25,6901.25,0,0,0,0,0,0,0,0,0
1762179300,6901,6909,6900.25,6908.25,0,0,0,0,0,0,0,0,0
1762180200,6908.25,6909.5,6881.25,6882.5,1,0,0,0,0,0,0,0,0
1762181100,6882.5,6886.25,6872.25,6876,0,0,0,0,0,0,0,0,0
1762182000,6875,6880.5,6866.75,6873.5,0,0,0,0,0,0,0,0,0
1762182900,6873.5,6874,6852.5,6855,0,0,0,0,0,0,0,0,0
1762183800,6854.75,6873,6849.5,6869.75,0,1,0,0,0,0,0,0,0
1762184700,6869.75,6878.75,6864.25,6874.25,1,0,0,0,0,0,0,0,0
1762185600,6874.25,6877.25,6869.75,6874.75,0,0,0,0,0,0,0,0,0
1762186500,6875,6878.5,6871.5,6877.75,NaN,NaN,0,0,0,0,0,0,0
