timestamp,symbol,event_type,side,price,detected_size,estimated_total_size,fill_count,confidence_score,duration_ms,session_id,cbdr_window,iceberg_subtype
2025-11-13 07:54:43.918782,MNQZ5.CME@RITHMIC,STOP,SELL,25592.75,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:54:43.918790,MNQZ5.CME@RITHMIC,STOP,SELL,25592.75,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:54:43.918903,MNQZ5.CME@RITHMIC,STOP,SELL,25592.75,1,3,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:54:43.918917,MNQZ5.CME@RITHMIC,STOP,SELL,25592.75,1,4,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:55:46.471112,MNQZ5.CME@RITHMIC,STOP,SELL,25588.0,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:55:46.471130,MNQZ5.CME@RITHMIC,STOP,SELL,25588.0,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:55:46.471138,MNQZ5.CME@RITHMIC,STOP,SELL,25588.0,1,3,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:55:50.342564,MNQZ5.CME@RITHMIC,STOP,BUY,25589.5,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:58:10.458550,MNQZ5.CME@RITHMIC,STOP,BUY,25585.0,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:58:10.458582,MNQZ5.CME@RITHMIC,STOP,BUY,25585.0,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:58:10.458587,MNQZ5.CME@RITHMIC,STOP,BUY,25585.0,1,3,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:58:56.174964,MNQZ5.CME@RITHMIC,STOP,SELL,25586.25,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:58:56.427056,MNQZ5.CME@RITHMIC,STOP,SELL,25585.0,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:58:56.427063,MNQZ5.CME@RITHMIC,STOP,SELL,25585.0,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:58:56.427090,MNQZ5.CME@RITHMIC,STOP,SELL,25585.0,1,3,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:58:56.427096,MNQZ5.CME@RITHMIC,STOP,SELL,25585.0,3,6,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:58:56.427107,MNQZ5.CME@RITHMIC,STOP,SELL,25585.0,1,7,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 07:59:02.977891,MNQZ5.CME@RITHMIC,STOP,SELL,25584.25,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 08:01:42.505611,MNQZ5.CME@RITHMIC,STOP,SELL,25568.5,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 08:05:23.664774,MNQZ5.CME@RITHMIC,STOP,BUY,25571.25,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 08:07:06.154949,MNQZ5.CME@RITHMIC,STOP,BUY,25575.5,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 08:07:32.185537,MNQZ5.CME@RITHMIC,STOP,BUY,25573.0,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 08:07:32.187454,MNQZ5.CME@RITHMIC,STOP,BUY,25573.0,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 08:09:50.614457,MNQZ5.CME@RITHMIC,STOP,BUY,25580.75,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 08:09:51.640469,MNQZ5.CME@RITHMIC,STOP,BUY,25581.25,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 08:09:55.618151,MNQZ5.CME@RITHMIC,STOP,BUY,25582.0,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 08:10:22.361891,MNQZ5.CME@RITHMIC,STOP,BUY,25580.75,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 08:10:26.023924,MNQZ5.CME@RITHMIC,STOP,SELL,25580.0,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 08:11:07.439080,MNQZ5.CME@RITHMIC,STOP,BUY,25577.25,1,1,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
2025-11-13 08:11:07.439091,MNQZ5.CME@RITHMIC,STOP,BUY,25577.25,1,2,0,0.0,,MNQZ5.CME@RITHMIC_20251113_LONDON,PRE_NY,
